time,95th
2023-09-17 00:00:00,1.9285162121962394
2023-09-18 00:00:00,2.3892967408992374
2023-09-19 00:00:00,2.7358754463949597
2023-09-20 00:00:00,2.1110204297320534
2023-09-21 00:00:00,2.3914501038702336
2023-09-22 00:00:00,2.1803903604414696
2023-09-23 00:00:00,2.8467843666959003
2023-09-24 00:00:00,3.8278670246124955
2023-09-25 00:00:00,3.225840002180485
2023-09-26 00:00:00,3.220712766016245
2023-09-27 00:00:00,2.432847300262526
2023-09-28 00:00:00,2.3108873885432595
2023-09-29 00:00:00,1.4059985504381662
2023-09-30 00:00:00,1.8158199219434266
2023-10-01 00:00:00,2.1195845852724107
2023-10-02 00:00:00,4.018627038079159
2023-10-03 00:00:00,2.8960135841595984
2023-10-04 00:00:00,2.9987902933056154
2023-10-05 00:00:00,2.375256859614152
2023-10-06 00:00:00,2.077363154321395
2023-10-07 00:00:00,2.334557674325013
2023-10-08 00:00:00,2.9365381485181334
2023-10-09 00:00:00,2.558839813937456
2023-10-10 00:00:00,2.962370756129952
2023-10-11 00:00:00,3.3427879954661734
2023-10-12 00:00:00,2.6108142606056846
2023-10-13 00:00:00,2.537938713711124
2023-10-14 00:00:00,2.726358678905917
2023-10-15 00:00:00,2.984283611869962
2023-10-16 00:00:00,3.16236704615726
